hgnc_id	Level2
HGNC:17063	Ophthalmological disorders
HGNC:17168	Ophthalmological disorders
HGNC:9865	Ophthalmological disorders
HGNC:18662	Ophthalmological disorders
HGNC:10848	Ophthalmological disorders
HGNC:10892	Ophthalmological disorders
HGNC:11119	Ophthalmological disorders
HGNC:20318	Ophthalmological disorders
HGNC:11195	Ophthalmological disorders
HGNC:30650	Ophthalmological disorders
HGNC:16133	Ophthalmological disorders
HGNC:24529	Ophthalmological disorders
HGNC:1975	Ophthalmological disorders
HGNC:2770	Cardiovascular disorders
HGNC:3036	Cardiovascular disorders
HGNC:3049	Cardiovascular disorders
HGNC:3052	Cardiovascular disorders
HGNC:6207	Cardiovascular disorders
HGNC:9024	Cardiovascular disorders
HGNC:9080	Cardiovascular disorders
HGNC:10484	Cardiovascular disorders
HGNC:28472	Cardiovascular disorders
HGNC:129	Neurology and neurodevelopmental disorders
HGNC:13201	Neurology and neurodevelopmental disorders
HGNC:13841	Neurology and neurodevelopmental disorders
HGNC:21732	Neurology and neurodevelopmental disorders
HGNC:24268	Neurology and neurodevelopmental disorders
HGNC:18318	Neurology and neurodevelopmental disorders
HGNC:28596	Neurology and neurodevelopmental disorders
HGNC:15685	Neurology and neurodevelopmental disorders
HGNC:1912	Neurology and neurodevelopmental disorders
HGNC:1955	Neurology and neurodevelopmental disorders
HGNC:1961	Neurology and neurodevelopmental disorders
HGNC:1965	Neurology and neurodevelopmental disorders
HGNC:1966	Neurology and neurodevelopmental disorders
HGNC:1967	Neurology and neurodevelopmental disorders
HGNC:24464	Neurology and neurodevelopmental disorders
HGNC:8011	Neurology and neurodevelopmental disorders
HGNC:2188	Neurology and neurodevelopmental disorders
HGNC:2211	Neurology and neurodevelopmental disorders
HGNC:2212	Neurology and neurodevelopmental disorders
HGNC:2213	Neurology and neurodevelopmental disorders
HGNC:2226	Neurology and neurodevelopmental disorders
HGNC:2364	Neurology and neurodevelopmental disorders
HGNC:2666	Neurology and neurodevelopmental disorders
HGNC:2974	Neurology and neurodevelopmental disorders
HGNC:26594	Neurology and neurodevelopmental disorders
HGNC:3147	Neurology and neurodevelopmental disorders
HGNC:3438	Neurology and neurodevelopmental disorders
HGNC:3439	Neurology and neurodevelopmental disorders
HGNC:17944	Neurology and neurodevelopmental disorders
HGNC:22140	Neurology and neurodevelopmental disorders
HGNC:3604	Neurology and neurodevelopmental disorders
HGNC:3689	Neurology and neurodevelopmental disorders
HGNC:3690	Neurology and neurodevelopmental disorders
HGNC:18169	Neurology and neurodevelopmental disorders
HGNC:17997	Neurology and neurodevelopmental disorders
HGNC:3622	Neurology and neurodevelopmental disorders
HGNC:3755	Neurology and neurodevelopmental disorders
HGNC:4177	Neurology and neurodevelopmental disorders
HGNC:4180	Neurology and neurodevelopmental disorders
HGNC:29514	Neurology and neurodevelopmental disorders
HGNC:4315	Neurology and neurodevelopmental disorders
HGNC:22932	Neurology and neurodevelopmental disorders
HGNC:5273	Neurology and neurodevelopmental disorders
HGNC:6121	Neurology and neurodevelopmental disorders
HGNC:37276	Neurology and neurodevelopmental disorders
